"hl_no","kn_torikomi_no","kn_no","kn_nm","k_kn_nm","yubin_no","ad","tel","sei","birth_dt","ansho_no","torihiki_dt","kouza1_syo_zan","kouza1_zan","kouza1_seisan_flg","kouza2_syo_zan","kouza2_zan","kouza2_seisan_flg","kouza3_syo_zan","kouza3_zan","kouza3_seisan_flg","kouza4_syo_zan","kouza4_zan","kouza4_seisan_flg","kouza5_syo_zan","kouza5_zan","kouza5_seisan_flg","kouza6_syo_zan","kouza6_zan","kouza6_seisan_flg","kouza7_syo_zan","kouza7_zan","kouza7_seisan_flg","kouza8_syo_zan","kouza8_zan","kouza8_seisan_flg","kouza9_syo_zan","kouza9_zan","kouza9_seisan_flg","kouza10_syo_zan","kouza10_zan","kouza10_seisan_flg","kouza11_syo_zan","kouza11_zan","kouza11_seisan_flg","kouza12_syo_zan","kouza12_zan","kouza12_seisan_flg","kouza13_syo_zan","kouza13_zan","kouza13_seisan_flg","kouza14_syo_zan","kouza14_zan","kouza14_seisan_flg","kouza15_syo_zan","kouza15_zan","kouza15_seisan_flg","kouza16_syo_zan","kouza16_zan","kouza16_seisan_flg","kouza17_syo_zan","kouza17_zan","kouza17_seisan_flg","kouza18_syo_zan","kouza18_zan","kouza18_seisan_flg","kouza19_syo_zan","kouza19_zan","kouza19_seisan_flg","kouza20_syo_zan","kouza20_zan","kouza20_seisan_flg","jitai_flg","jitai_at","up_dt","nichu_tel","jk_jo_kbn","f","web_kn_no","operation_f","is_failed"
"01517","90524303","75634","Sammy Berge-Huels","Oberbrunner","95785","911 Stiedemann Ridge","1-989-535-9996 x52018","1","1988-06-06","8994","2024-03-12","3689","422","","6809","3537","","8263","3756","","5203","8716","","143","8529","","1640","212","","5614","1400","","4278","4986","","8163","351","","697","2905","","4873","2739","","1037","6686","","9497","610","","6998","655","","6407","6821","","1953","2049","","8723","2048","","3787","5428","","7128","5178","","4091","8367","","","","2024-08-27","","00","0","","1","false"
"01517","78604779","65843","Angelo Nader","Rau","51972","6863 Kaela Cliffs","867-951-0187 x674","8","1961-05-24","2018","2023-10-21","3861","2821","","7970","8026","","9886","4209","","4150","6388","","6925","840","","5753","8365","","2336","4787","","6737","8117","","9064","570","","9560","5439","","5680","6395","","4914","4293","","5415","9739","","2123","7659","","3732","5200","","8206","992","","8815","526","","2472","3445","","7962","359","","425","5008","","","","2024-08-27","","00","0","","1","false"
"01517","26097515","93652","Brandy Jacobs","Herzog","04527","512 15th Street","1-733-890-8579","3","1976-06-27","3746","2023-08-29","7285","7195","","200","2228","","4272","217","","6264","4386","","4453","6351","","501","5704","","3406","4490","","2500","4055","","1996","383","","6744","4511","","504","428","","4102","1050","","2707","7194","","3975","3402","","7471","9681","","1133","7793","","7987","8173","","1618","4637","","9067","3691","","4986","2500","","","","2024-08-27","","00","0","","1","false"
"01517","57063243","39651","Jacqueline Stehr","Wunsch","11275-9037","57371 Ferry Points","(795) 475-9769 x90888","6","1968-09-21","6696","2024-05-18","5660","5888","","2269","6499","","3571","5675","","5786","4516","","8308","450","","6087","554","","2463","8164","","2014","6766","","8089","5094","","4775","7399","","7578","2095","","735","9091","","3226","3513","","3507","759","","442","3256","","3445","6821","","1822","7150","","9778","796","","2148","7248","","4367","2673","","","","2024-08-27","","00","0","","1","false"
"01517","59767312","65615","Lyle Batz","Fisher","06372","331 Waylon Hill","(811) 829-6508","6","1964-05-31","2485","2024-04-29","3886","3234","","9693","824","","386","5598","","7026","5652","","4066","1418","","9661","2526","","8840","6830","","898","6347","","6398","4770","","6734","2557","","2326","6777","","8303","1121","","2142","1609","","9655","9852","","1594","8742","","8050","5242","","6562","7943","","9219","5889","","3657","6261","","7972","3475","","","","2024-08-28","","00","0","","1","false"
"01517","21418037","96362","Felipe Ferry V","Muller","01116","248 Western Avenue","(370) 316-7525","3","1963-05-08","2859","2024-04-02","868","3480","","3566","5838","","939","433","","9021","3557","","783","2417","","5698","5729","","6791","7143","","6793","4149","","7669","434","","6220","642","","9192","5603","","9738","1624","","7401","2785","","3616","9461","","7621","544","","1340","2877","","118","8733","","3163","6607","","4719","2280","","4390","8476","","","","2024-08-27","","00","0","","1","false"
"01517","93254448","62970","Krista Jacobi","O'Keefe-Hagenes","44490-6901","5615 Murray Garden","305.656.2325 x6862","2","1970-11-21","3049","2024-08-15","6744","4912","","6055","3281","","5712","9578","","9821","9321","","2232","6916","","7827","2113","","3224","6979","","5804","7154","","5797","2522","","8337","1803","","8334","3192","","6433","9110","","7925","4239","","7883","3065","","8815","6212","","4499","8685","","6355","1059","","1021","7295","","9700","2630","","6023","1482","","","","2024-08-27","","00","0","","1","false"
"01517","98320203","70678","Mr. Chester Quigley","Rohan","08731","4474 Alexandra Motorway","397.223.5892","5","1996-04-19","9450","2024-08-09","608","738","","4599","358","","2487","734","","6771","9105","","3416","3217","","102","7860","","2707","9288","","465","6475","","8640","9658","","8163","6076","","5159","8862","","7498","7992","","2724","4140","","3979","1907","","8155","3165","","8429","2397","","1745","7606","","5935","9679","","375","9772","","7774","9383","","","","2024-08-27","","00","0","","1","false"
"01517","42927001","26439","Gilbert Leannon","Doyle","83353","818 Delta Rapid","(785) 420-2900 x20774","10","1975-08-30","2485","2024-03-12","714","9220","","7735","2355","","276","4031","","1801","4969","","935","7933","","4025","4402","","226","4901","","5748","3585","","6892","7482","","3884","3096","","3964","6557","","9474","3222","","1809","6714","","6841","4412","","5522","6751","","2239","4351","","3180","9439","","1427","741","","1682","1621","","5986","2380","","","","2024-08-27","","00","0","","1","false"
"01517","75219918","22240","Tracey Stehr","Larkin","94396-6054","709 Aglae Passage","(381) 209-2329 x83421","7","2005-07-19","3520","2024-01-14","2672","4601","","463","5398","","4881","1148","","4364","4050","","1759","6601","","2226","2111","","8330","7141","","8991","2833","","9918","5358","","9465","2857","","7955","6777","","7919","4627","","9621","6740","","2760","3470","","5155","6836","","3236","2614","","9183","7973","","2018","7558","","3417","678","","1348","3997","","","","2024-08-27","","00","0","","1","false"
"01517","69703218","18970","Colin Kertzmann DDS","Gutmann","56302-6763","809 Alene Shoal","1-221-211-5616","5","1992-05-06","2144","2024-04-28","9137","3321","","9914","8798","","6955","7158","","7550","322","","5060","7401","","2388","7057","","6810","1166","","6975","9238","","8938","1389","","68","2300","","5798","8809","","7996","5948","","5641","9929","","5635","2915","","5220","7585","","8287","6447","","8922","627","","6250","3585","","8559","2978","","6177","9536","","","","2024-08-28","","00","0","","1","false"
"01517","94093774","51707","Danny Morissette","Zieme","87869-4822","807 Kuphal Crest","230.868.0230 x866","4","1979-09-16","3705","2024-04-09","77","111","","3429","5196","","1531","5822","","90","8136","","6069","9270","","5555","1980","","8890","2059","","8340","2060","","1465","8258","","4067","240","","1607","1195","","2710","56","","4848","4250","","7145","2222","","4743","3224","","8132","5628","","7377","2933","","5392","7810","","9574","6199","","5596","1513","","","","2024-08-28","","00","0","","1","false"
"01517","63624806","53149","Miss Katie Mayert","Bogan","51048-2524","489 13th Street","382.537.3702 x8375","3","1984-06-19","1655","2024-01-06","3717","3042","","9169","4437","","8816","7154","","828","9046","","4940","2757","","1415","9670","","7048","5908","","9792","1527","","3850","859","","9070","3382","","5663","5830","","9275","7170","","3221","5700","","6384","6947","","273","8690","","3150","3608","","813","6778","","3332","9904","","4418","4276","","4542","1226","","","","2024-08-27","","00","0","","1","false"
"01517","96831139","45150","Gregory Huels","Bahringer","11578","54745 Hudson Rapids","(682) 877-0215 x74278","3","1964-03-20","7461","2023-08-29","2279","4878","","3673","4841","","9908","8222","","7496","5352","","9615","9589","","3175","9762","","2023","3020","","6572","6133","","3611","4221","","3091","2908","","7998","6452","","8828","3998","","466","2915","","1201","3462","","7448","6258","","9065","4583","","6848","5888","","9774","4631","","2233","9234","","6669","9176","","","","2024-08-28","","00","0","","1","false"
"01517","73850988","58319","Mr. Benny Tremblay","Wisoky","48156","95492 Koepp Circle","616.418.3647 x462","10","1998-11-20","6792","2023-11-07","9093","3534","","4607","4659","","7272","7018","","4685","2212","","2167","556","","3217","7925","","2628","6890","","5007","9263","","3896","806","","8422","7642","","5257","5098","","8748","7452","","5243","4007","","3653","2013","","1164","9484","","524","694","","5935","4499","","5311","8277","","226","4478","","671","6950","","","","2024-08-27","","00","0","","1","false"
"01517","99062523","49288","Brandi Cremin","Douglas","69829","17221 Kamryn Courts","1-954-268-2322 x818","10","1962-01-13","1697","2024-07-08","140","4399","","2013","2999","","5118","7036","","8645","1099","","5919","6711","","6936","6250","","3203","8521","","5381","6766","","2038","9136","","2557","2466","","8356","9594","","5410","1401","","9103","5477","","4675","7001","","3304","2171","","5431","1969","","8454","5835","","9680","5881","","6348","1357","","9071","3562","","","","2024-08-27","","00","0","","1","false"
"01517","55761028","45537","Miss Marguerite Christiansen Jr.","Wyman","51463-9983","489 Rosie Ridge","432.254.3501 x060","5","1981-12-28","8788","2024-07-26","7252","6442","","3159","6495","","7289","5915","","3765","6051","","4810","9142","","8023","5898","","315","3107","","5948","1790","","6381","1116","","9894","6986","","8308","5437","","9179","6474","","4596","572","","6832","6426","","558","1976","","4792","9597","","6306","8754","","2595","7817","","6222","8642","","5392","852","","","","2024-08-27","","00","0","","1","false"
"01517","13989782","27162","Leon Gulgowski","Gibson","90144-5462","79655 Depot Street","650.559.9017 x95987","1","1947-09-18","7433","2024-01-01","2738","3196","","4902","8691","","7392","373","","9906","5753","","8424","2209","","7088","2830","","924","502","","2370","9710","","2318","9738","","9372","7432","","440","4103","","9561","7069","","4677","3812","","1930","542","","1977","3125","","4634","6542","","5794","1195","","6449","8568","","7008","2873","","1355","3780","","","","2024-08-27","","00","0","","1","false"
"01517","42898046","46663","Kathryn Willms III","Runolfsson","42937-7707","98812 Bruen Wells","1-800-984-1622 x8346","5","1992-02-15","7269","2023-10-28","4690","2309","","3515","4634","","5324","7243","","8186","7929","","7477","1852","","7847","7216","","2287","4325","","9801","9625","","6498","4849","","9283","6620","","7294","8913","","3773","4266","","4436","3651","","6920","5650","","4500","2523","","1310","7199","","1106","2944","","6673","1971","","798","3134","","2601","4066","","","","2024-08-27","","00","0","","1","false"
"01517","53542304","64866","Jeremiah Beer","Schmitt","93802","721 Renner Trafficway","499.479.1463","3","1951-02-02","2354","2024-06-23","9222","2369","","3116","502","","150","466","","8781","1247","","6412","4404","","462","9668","","773","6242","","6506","3450","","2483","5781","","6549","9087","","5440","6157","","4164","9631","","4203","7666","","3357","3897","","1899","7949","","3874","7577","","6638","622","","4173","1060","","7153","3683","","710","4706","","","","2024-08-27","","00","0","","1","false"
"01517","82355565","85844","Jenna Kunze","Abbott","40795","303 Kuvalis Views","212-408-5170 x292","7","1978-07-10","7716","2024-01-20","8689","6484","","6341","5986","","9331","9559","","9835","4500","","7170","4540","","686","2946","","8454","7129","","8838","5787","","3891","7603","","2992","493","","1617","9282","","3491","4913","","3702","1228","","4926","2844","","8920","8108","","3242","7977","","3813","8546","","6655","6228","","4885","5585","","7305","8714","","","","2024-08-27","","00","0","","1","false"
"01517","82495395","88911","Warren Mraz","Welch","11687","979 Heathcote Alley","910-588-3183","4","1964-10-12","2894","2024-02-13","4649","6708","","6774","5751","","3276","8904","","8807","7427","","7606","3942","","7466","6255","","2994","651","","2639","9872","","4616","9605","","6744","2014","","5619","7319","","8915","1175","","5022","1100","","7286","9429","","287","6583","","9993","7164","","1742","2998","","7936","3765","","2823","1717","","2675","5541","","","","2024-08-27","","00","0","","1","false"
"01517","70360785","81070","Marvin Haley Jr.","Glover","24850","514 Franecki Tunnel","(318) 966-6766 x8254","10","1957-10-24","2602","2024-04-09","4236","597","","9069","7374","","3267","608","","9483","2018","","2540","813","","48","6412","","2794","1646","","4084","2598","","2962","8974","","3679","1717","","7114","4220","","4631","4454","","7406","1844","","205","9296","","1156","8735","","7172","6981","","2150","9978","","1466","9214","","3988","5137","","7888","1561","","","","2024-08-27","","00","0","","1","false"
"01517","79565481","90331","Sherri Runte","Feil","48626","496 Bennett Center","286-345-1640 x49380","7","1986-10-07","9973","2024-02-19","3546","3848","","3387","7869","","4721","1860","","9193","5378","","8384","3264","","6926","3865","","7324","6640","","22","5035","","7008","240","","1129","8763","","3869","1694","","5219","6319","","473","274","","8870","3086","","907","6035","","9915","8470","","1110","9359","","8255","7629","","9085","4569","","9380","749","","","","2024-08-27","","00","0","","1","false"
"01517","70918776","34011","Darryl Grimes","O'Conner","21764","8478 Padberg Fall","1-562-776-1622","1","1980-03-21","1520","2024-08-03","8174","1910","","3599","4798","","2757","755","","2318","4490","","272","5750","","3161","3341","","7713","500","","1835","6489","","9881","9755","","7884","1262","","434","57","","6197","9762","","6988","2852","","8396","263","","9838","947","","2621","9870","","5878","2322","","6210","4098","","7552","5900","","8906","5553","","","","2024-08-27","","00","0","","1","false"
"01517","46692158","16993","Gustavo Mante","Schmeler","07974","320 Sabryna Glens","1-586-695-8901 x1604","1","2005-08-12","5464","2024-04-23","4990","3586","","9961","1989","","8719","9281","","7554","57","","1684","9765","","7516","6211","","797","8807","","9696","5213","","8081","8230","","6596","8860","","4923","962","","4752","7098","","9745","1022","","2598","5071","","2900","5578","","7362","6819","","8390","8987","","4198","1198","","8999","4345","","2020","8976","","","","2024-08-27","","00","0","","1","false"
"01517","35261065","49403","Dustin Satterfield","Shields","10781","720 State Street","(763) 556-8381 x429","2","1965-08-13","1457","2024-04-18","7826","5902","","1327","7766","","9826","9275","","1998","7877","","1719","2536","","3655","2545","","395","3185","","4589","5439","","2097","885","","5150","2103","","8450","8555","","5455","7599","","206","2878","","1269","4333","","6808","5788","","7779","6267","","2266","7450","","573","535","","4411","6183","","4439","6962","","","","2024-08-27","","00","0","","1","false"
"01517","19769006","16450","Toni Jerde","Rolfson","02147","982 Waterside","530.627.5001 x963","9","1992-07-23","5804","2024-05-27","9114","8886","","994","4014","","5821","6505","","3777","2463","","7719","6869","","4943","7107","","3433","6817","","200","3204","","7878","5184","","7475","6475","","7041","8267","","5835","7696","","3151","8207","","2554","5195","","623","6308","","9989","5018","","420","8283","","6206","1652","","1347","6914","","2960","6685","","","","2024-08-27","","00","0","","1","false"
"01517","84891252","43085","Marion Friesen","Muller","77019-9088","8082 Goyette Harbors","1-668-348-8224 x64876","8","1973-12-25","1907","2023-10-13","9051","5971","","401","4526","","8976","3614","","1987","645","","9478","5387","","849","8488","","1824","8287","","5470","2946","","1873","5845","","726","6508","","4133","4111","","3143","5856","","2042","2509","","9618","1806","","663","1365","","4765","2769","","2287","5681","","4131","99","","3678","371","","9057","9560","","","","2024-08-27","","00","0","","1","false"
"01517","71266354","84850","Alfredo Effertz","Olson","82363","86550 Williamson Way","(363) 981-0886 x9263","7","1966-12-02","8142","2023-11-01","6530","2361","","5213","3586","","3545","8818","","7986","8460","","9067","4770","","5698","1468","","4149","6499","","8651","1788","","4339","6863","","9226","9041","","5875","7926","","9408","7999","","2886","5454","","6645","3526","","6805","5233","","121","9827","","7863","5031","","3392","248","","6025","9572","","7011","1757","","","","2024-08-27","","00","0","","1","false"
"01517","92968014","93275","Pedro Krajcik","Heaney","77912-2974","70177 Willow Road","1-378-839-1774 x57897","10","1992-09-01","6172","2023-11-21","4408","1927","","7675","6541","","3806","7276","","4206","2421","","6657","8393","","6370","2757","","1181","8126","","9080","4021","","330","470","","5280","4326","","1691","234","","5211","6080","","1874","9872","","9184","6118","","397","7808","","6002","5712","","994","5225","","8808","9751","","5092","8978","","983","1456","","","","2024-08-27","","00","0","","1","false"
"01517","12321309","75395","Olga Batz","Stark","12277-7796","373 Skye Overpass","684.595.2228 x1180","7","1981-06-19","1163","2024-05-21","6232","184","","1512","8295","","8487","9241","","2331","9599","","4175","8147","","8946","8059","","9646","6721","","9285","6164","","7860","4054","","4732","4694","","3143","766","","3273","7629","","4474","1053","","8928","6581","","5071","5783","","2949","2926","","9731","7411","","6693","2868","","1843","9989","","7053","904","","","","2024-08-27","","00","0","","1","false"
"01517","69827789","48961","Loren Stark","Fritsch-Lebsack","06378-0261","685 Tavares Trafficway","(599) 851-8888","4","1957-01-31","9134","2024-07-14","5478","2629","","6267","8237","","2854","7835","","7014","5442","","4441","6702","","7963","5882","","6253","3093","","5735","9925","","5785","198","","1797","9397","","1372","9622","","3135","9049","","433","1334","","7411","2514","","8078","2819","","6283","6359","","1675","323","","3613","5482","","7190","3269","","1594","4926","","","","2024-08-28","","00","0","","1","false"
"01517","65127526","16083","Brad Cormier","Prohaska","09016","9611 Shanel Dam","(415) 527-2742 x26923","5","1978-04-05","7646","2024-07-01","3327","503","","8495","1557","","4468","3482","","5208","2827","","199","2952","","196","9959","","2214","8477","","9461","2278","","1890","9825","","4206","2958","","4879","6954","","8180","791","","6701","8086","","7925","7426","","7910","4120","","1773","9110","","3725","9672","","2142","4288","","3160","6377","","327","6176","","","","2024-08-27","","00","0","","1","false"
"01517","97261395","93611","Jasmine Abshire","Abernathy","54119","15220 Armani Gardens","207-585-3902 x4789","1","1978-01-31","1577","2023-10-04","3348","5650","","4128","1740","","9441","8719","","9395","7982","","1240","2370","","5044","4274","","2762","4005","","8706","5144","","3507","3","","9801","9038","","5771","1099","","9913","4982","","2108","526","","7427","3771","","6252","5975","","9604","3475","","1114","3605","","2472","3273","","6899","8039","","80","9838","","","","2024-08-27","","00","0","","1","false"
"01517","22709982","16752","Flora Thiel","Schulist","23008","2206 Roob Summit","1-813-809-3257","2","1985-03-30","2788","2023-09-25","2063","9882","","4048","8368","","8768","820","","2071","2172","","8998","8815","","6572","6068","","3635","7499","","2583","6183","","8361","8284","","7446","9941","","42","2428","","1231","9589","","7804","5255","","5773","2015","","3593","577","","7997","972","","6278","7270","","1625","4803","","7734","9193","","9138","6476","","","","2024-08-27","","00","0","","1","false"
"01517","68686917","20503","Josefina Tromp","Nicolas","95322","66705 Stanton Creek","263.391.3727 x864","8","1984-01-16","6210","2024-06-22","3248","6276","","9402","1376","","428","4276","","8906","6179","","1728","9458","","6413","4031","","6097","4401","","7821","6520","","2730","2990","","2492","3798","","1337","3660","","6267","8811","","1158","1842","","6824","8892","","3763","3646","","4350","7091","","2374","7777","","2688","570","","1612","8665","","122","5841","","","","2024-08-28","","00","0","","1","false"
"01517","48226853","88148","Veronica Effertz","Wyman-Hilpert","74416-8060","84071 Jazmyne Canyon","(238) 811-4644 x949","2","1994-07-20","4093","2024-01-26","4771","5269","","1990","6166","","8873","3579","","6105","2769","","9786","2353","","5174","7339","","8893","3635","","6175","619","","8645","7105","","5529","7629","","5154","2397","","7076","3314","","7125","9251","","5006","3285","","3918","5414","","6486","8460","","6350","6147","","7499","6872","","1782","2407","","3090","3768","","","","2024-08-27","","00","0","","1","false"
"01517","38852056","78177","Mrs. Peggy Gislason","Hermann","85698","8655 Karolann Hill","(295) 772-6130","9","1956-10-18","9578","2023-12-14","7839","1392","","6139","241","","413","71","","2982","8960","","6147","9726","","1555","3997","","7382","1509","","2450","7516","","8592","4364","","7466","7918","","270","358","","9512","4915","","7850","173","","6669","8712","","1583","6412","","5349","2477","","7808","1338","","6799","3299","","4020","5206","","607","9778","","","","2024-08-27","","00","0","","1","false"
"01517","93129260","40009","Glen Johnson","Orn","42701","57161 Emmanuel Place","936.588.2248 x1303","8","1970-02-14","2681","2024-06-11","8809","5069","","7264","9327","","4745","5684","","4124","3045","","4989","8610","","9542","6076","","3017","2166","","7423","7020","","3060","6659","","9854","6289","","2649","2863","","825","6202","","4412","5191","","6341","4007","","3345","348","","5966","5670","","2823","8414","","3353","3817","","1739","3952","","4171","6456","","","","2024-08-27","","00","0","","1","false"
"01517","10326765","85634","Claire Koelpin","Hayes","63935-3938","96528 Fahey Estate","416.646.6080 x5407","10","1962-03-18","8149","2024-08-01","7860","3956","","8530","3282","","5233","9756","","1565","9737","","9595","5487","","8770","7997","","6682","578","","4450","6779","","2368","3281","","2920","4997","","8666","4698","","9503","6736","","9658","4361","","2839","9858","","5559","9857","","351","7747","","3933","3879","","3285","7386","","6161","1047","","4586","1551","","","","2024-08-27","","00","0","","1","false"
"01517","14218671","98562","Adam Howe","Wuckert","69977-3284","4123 Rempel Greens","374.640.4424 x30965","5","1947-06-05","8836","2024-01-07","3730","670","","3778","2564","","1093","6550","","5678","70","","5436","4156","","7301","8380","","1846","8355","","6855","2334","","8783","5275","","4503","3537","","9640","6945","","4051","4412","","8048","1786","","4024","4242","","2924","3884","","8811","9747","","1698","8700","","8513","8770","","8394","7534","","343","78","","","","2024-08-27","","00","0","","1","false"
"01517","58874608","91062","Ed Rolfson","Ziemann","35496","3772 N East Street","1-900-427-8189","7","1946-02-18","2824","2023-11-29","2056","4071","","5711","7883","","7669","5435","","7842","6015","","6408","8461","","9773","6141","","5599","5746","","7283","7038","","1925","9216","","7159","3392","","7306","7696","","7023","7706","","8197","276","","413","2125","","3473","7999","","6611","4366","","5606","3086","","5868","5851","","1013","6511","","8842","4720","","","","2024-08-27","","00","0","","1","false"
"01517","84656879","89380","Roosevelt Schaefer","Schaden","76193-2776","2498 Rosemary Land","446-391-7450 x66752","6","1964-08-01","9498","2023-10-03","3399","3993","","8097","8634","","8387","3969","","6877","5242","","3158","425","","1014","663","","2482","7336","","4990","985","","8281","304","","7545","5106","","7593","2693","","9572","6943","","2458","8392","","1220","4409","","5735","2758","","559","8872","","1711","1979","","1673","8530","","1208","2194","","6482","3813","","","","2024-08-27","","00","0","","1","false"
"01517","69369610","30417","Ms. Marsha Abshire","Hegmann","24077","3732 Gardner Lights","1-206-732-8417 x83364","6","1998-02-05","1197","2023-12-01","9956","7791","","8163","961","","8153","3483","","1078","8256","","200","8930","","6216","6489","","67","2269","","8823","9412","","4170","3696","","1975","2534","","444","6284","","2098","7275","","9285","1790","","8466","1972","","639","2028","","3605","3058","","250","3438","","1212","3044","","1513","5469","","7488","9807","","","","2024-08-27","","00","0","","1","false"
